题号,题干,A,B,C,D,E,答案,难度,题型
1,一个模块把数值作为参数传送给另一个模块，这种耦合方式称为（ ）。,数据耦合,公共耦合,控制耦合,标记耦合,,A,结构化设计,单选题
2,软件设计的主要任务是设计软件的结构、过程和模块，其中软件结构设计的主要任务是要确定（ ）。,模块间的操作细节,模块间的相似性,模块间的组成关系,模块的具体功能,,C,结构化设计,单选题
3,一个模块直接控制（调用）的下层模块的数目称为模块的（ ）。,扇入数,扇出数,宽度,作用域,,B,结构化设计,单选题
4,结构图（SC）和层次方框图是不同的，前者（ ）。,描述程序的过程特性,描述程序的层次特性,描述程序的过程特征和层次特征,即不描述程序的过程特征，也不描述程序的层次特征,,B,结构化设计,单选题
5,在软件结构化设计中，好的软件结构设计应该力求做到（ ）。,顶层扇出较少，中间层扇出较高，底层模块低扇入,顶层扇出较高，中间层扇出较少，底层模块高扇入,顶层扇入较少，中间层扇出较高，底层模块高扇入,顶层扇入较少，中间层扇入较高，底层模块低扇入,,B,结构化设计,单选题
6,在面向数据流的软件设计方法中，一般将信息流分为（ ）。,变换流和事务流,变换流和控制流,事务流和控制流,数据流和控制流,,A,结构化设计,单选题
7,面向数据流的设计方法把（ ）映射成软件结构。,数据流,模块化,控制结构,信息流,,C,结构化设计,单选题
8,软件设计中划分模块的一个准则是（ ）。,低内聚低耦合,低内聚高耦合,高内聚低耦合,高内聚高耦合,,C,结构化设计,单选题
9,在需求分析之前有必要进行（ ）。,程序设计,可行性分析,ER分析,3NF分析,,B,结构化分析,单选题
10,在结构化分析方法中，与数据流图配合使用的是（ ）。,网络图,实体联系图,数据字典,程序流程图,,C,结构化分析,单选题
11,对于分层的DFD，父图与子图的平衡指子图的输入、输出数据流同父图相应加工的输入、输出数据流（ ）。,必须一致,数目必须相等,名字必须相同,数目必须不等,,A,结构化分析,单选题
12,软件需求分析阶段建立原型的主要目的是（ ）。,确定系统的功能和性能要求,确定系统的运行要求,确定系统是否满足用户需要,确定系统是否满足开发人员需要,,C,结构化分析,单选题
13,变换型DFD是一个（ ）结构。,循环,选择,分层,顺序,,C,结构化设计,单选题
14,数据字典不包括的条目是（ ）。,数据项,数据流,数据类型,数据加工,,C,结构化分析,单选题
15,最高程度也是最差的耦合是（ ）。,公共耦合,内容耦合,控制耦合,数据耦合,,B,结构化设计,单选题
16,两个模块之间仅通过参数传递简单数据，这种耦合称为？,数据耦合,特征耦合,控制耦合,外部耦合,,A,结构化设计,单选题
17,如果一个模块传递给另一个模块的参数中包含了控制信息，这种耦合称为？,控制耦合,数据耦合,特征耦合,内容耦合,,A,结构化设计,单选题
18,一组模块都访问同一全局简单变量，而不是通过参数表传递，这种耦合称为？,外部耦合,公共耦合,数据耦合,特征耦合,,A,结构化设计,单选题
19,若一组模块都访问同一个公共数据环境，这种耦合称为？,公共耦合,外部耦合,内容耦合,控制耦合,,A,软件工程概述,单选题
20,下列哪种内聚性最高？,功能内聚,顺序内聚,通信内聚,偶然内聚,,A,结构化设计,单选题
21,概要设计不包括以下哪项？,模块内部算法,总体架构,模块功能描述,数据库设计,,A,结构化设计,单选题
22,变换型数据流图的特点是什么？,输入数据经过处理转变成输出数据,将输入数据流分散成许多数据流,只处理控制流,没有输入输出,,A,结构化设计,单选题
