题号,题干,A,B,C,D,E,答案,难度,题型
10001,1.在哪个过程模型中，开发是逐步进行的，每个阶段都产生可运行的部分系统？ [cite: 8],瀑布模型,增量模型,原型模型,喷泉模型,,,B,未分类,单选题
10002,9.在哪个过程模型中，风险分析是显式且持续的活动？ [cite: 32],瀑布模型,螺旋模型,原型模型,增量模型,,,B,未分类,单选题
10003,11.敏捷宣言中提到的四个核心价值之一是？ [cite: 38],流程重于个体和交互,工具重于工作软件,详尽的文档重于工作的软件,客户合作重于合同谈判,,,D,未分类,单选题
10004,12.面向对象分析中的"协作"是指什么？ [cite: 41],对象之间的通信和配合,类之间的继承关系,对象之间的属性共享,类之间的接口调用,,,A,未分类,单选题
10005,"13. 一个程序的控制流图中有8个节点、12条边,在测试用例数最少的情况下,确保程序中每个可执行语句至少执行一次所需测试用例数的上限是 （ ） 。 [cite: 44]",2,4,6,8,,,B,未分类,单选题
10006,14.UML类图中，表示类之间整体与部分关系，且部分不能离开整体而单独存在的是？ [cite: 47],聚合,组合,关联,泛化,,,B,未分类,单选题
10007,8. 软件交付之后，由于软硬件环境发生变化而对软件进行修改的行为属于（ ）维护。 [cite: 29],改善性,适应性,预防性,改正性,,,B,未分类,单选题
10008,10.以下哪一项不是软件危机的表现形式( ) [cite: 35],成本高,生产率低,技术发展快,质量得不到保证,,,C,未分类,单选题
10009,15. 统一过程模型的四个阶段中，在（）阶段进行需求分析和架构演进。 [cite: 50],移交,精化,构建,起始,,,B,未分类,单选题
10010,10.面向对象分析中的"协作"是指什么？,对象之间的通信和配合,类之间的继承关系,对象之间的属性共享,类之间的接口调用,,,A,未分类,单选题
10011,7.敏捷宣言中提到的四个核心价值之一是？,流程重于个体和交互,工具重于工作软件,详尽的文档重于工作的软件,客户合作重于合同谈判,,,D,未分类,单选题
10012,13.开发软件所需高成本和产品的低质量之间有着尖锐的矛盾，这种现象称做（ ）。,软件工程,软件周期,软件危机,软件产生,,,C,未分类,单选题
10013,14.软件工程是采用（　　）的概念、原理、技术方法指导计算机程序设计的工程学科。,工程,系统工程,体系结构,结构化设计,,,B,未分类,单选题
10014,15.下列哪项不是黑盒测试的技术？,边界值分析,等价类划分,语句覆盖,因果图,,,C,未分类,单选题
10015,11.敏捷开发中的"持续集成"意味着？,只在项目结束时进行集成测试,定期进行代码集成和测试，确保系统稳定性,每个开发人员独立工作，最后再进行集成,不需要进行集成测试,,,B,未分类,单选题
10016,6. 统一过程模型的四个阶段中，在（）阶段进行需求分析和架构演进。,移交,精化,构建,起始,,,B,未分类,单选题
10017,5.在UML类图中，一个类可以包含另一个类的实例，这种关系被称为？,继承,聚合,组合,依赖,,,C,未分类,单选题
10018,4. 为了提高模块的独立性，模块之间最好是（）,公共耦合,控制耦合,数据耦合,特征耦合,,,C,未分类,单选题
10019,3. 研究软硬件资源的有效性是进行(）研究的一方面。,技术可行性,经济可行性,社会可行性,操作可行性,,,A,未分类,单选题
